InvoiceID,ItemID,RetailPrice,Quantity
193,31775,250,3
194,31775,250,6
195,31735,260,2
195,31749,160,2
195,31757,80,4
195,31778,220,1
195,31641,20,6
195,31691,20,6
195,31732,400,1
195,31739,300,1
195,31742,300,1
195,31775,250,2
195,31784,25,6
196,31640,20,6
196,31644,20,6
196,31645,50,3
196,31651,20,6
196,31653,25,6
196,31657,20,6
196,31684,20,12
196,31691,20,6
196,31700,30,12
196,31702,20,6
196,31784,25,6
197,31671,25,12
197,31643,50,12
197,31653,25,24
197,31655,25,24
197,31657,20,24
197,31660,30,12
197,31690,20,12
197,31700,30,24
198,31704,20,6
198,31736,20,12
198,31738,50,6
198,31786,20,6
198,31640,20,6
198,31643,50,6
198,31651,20,12
198,31653,25,24
198,31655,25,24
198,31659,20,12
198,31660,30,6
198,31675,30,6
198,31705,20,6
198,31728,30,12
198,31784,25,12
199,31671,25,36
199,31703,20,24
199,31704,20,24
199,31713,80,6
199,31736,20,36
199,31737,110,6
199,31738,50,24
199,31749,160,4
199,31751,250,4
199,31778,220,6
199,31786,20,24
199,31636,50,12
199,31642,20,36
199,31643,50,12
199,31644,20,12
199,31646,20,24
199,31647,60,12
199,31651,20,24
199,31653,25,24
199,31657,20,12
199,31659,20,12
199,31660,30,12
199,31666,20,12
199,31677,20,24
199,31684,20,36
199,31690,20,24
199,31691,20,24
199,31693,20,24
199,31694,25,24
199,31697,20,24
199,31699,20,12
199,31706,40,12
199,31720,65,6
199,31721,65,6
199,31724,65,6
199,31726,65,6
199,31728,30,24
199,31729,60,24
199,31732,400,4
199,31739,300,6
199,31742,300,3
199,31784,25,24
199,31800,60,12
200,31791,30,48
201,31669,10,12
201,31670,20,6
201,31704,20,12
201,31736,20,12
201,31738,50,6
201,31786,20,12
201,31642,20,12
201,31644,20,12
201,31645,50,6
201,31646,20,12
201,31650,20,6
201,31651,20,6
201,31655,25,12
201,31659,20,6
201,31684,20,12
201,31687,20,6
201,31694,25,12
201,31697,20,6
201,31700,30,3
201,31705,20,6
201,31801,20,6
202,31736,20,6
202,31641,20,6
202,31642,20,6
202,31653,25,24
202,31657,20,12
202,31677,20,6
202,31679,20,6
202,31684,20,24
202,31690,20,6
202,31705,20,6
202,31728,30,6
203,31704,20,6
203,31749,160,2
203,31751,250,1
203,31778,220,1
203,31645,50,6
203,31651,20,6
203,31653,25,12
203,31677,20,12
203,31691,20,12
203,31739,300,1
203,31758,80,2
203,31775,250,1
204,31700,30,24
204,31789,20,60
205,31802,70,6
206,31803,50,6
206,31730,100,6
206,31744,75,3
207,31672,40,3
207,31751,250,2
207,31778,220,2
207,31640,20,3
207,31641,20,3
207,31642,20,6
207,31645,50,3
207,31653,25,3
207,31657,20,3
207,31666,20,3
207,31674,20,3
207,31684,20,3
207,31686,20,3
207,31718,25,6
207,31719,25,3
207,31720,65,2
208,31670,20,6
208,31672,40,6
208,31736,20,6
208,31737,110,6
208,31738,50,6
208,31786,20,6
208,31720,65,2
208,31721,65,2
208,31724,65,2
208,31726,65,2
208,31728,30,6
208,31789,20,12
209,31802,70,12
210,31693,20,24
210,31804,50,24
211,31704,20,6
211,31640,20,6
211,31642,20,12
211,31646,20,12
211,31651,20,12
211,31653,25,12
211,31655,25,12
211,31657,20,12
211,31684,20,12
211,31694,25,12
211,31700,30,6
211,31728,30,6
211,31729,60,6
211,31784,25,12
211,31801,20,6
212,31700,30,24
213,31649,35,12
213,31650,20,6
213,31679,20,12
213,31688,20,6
213,31784,25,12
214,31672,40,12
214,31712,40,6
214,31736,20,36
214,31738,50,24
214,31750,80,6
214,31786,20,24
214,31646,20,24
214,31647,60,12
214,31677,20,6
214,31684,20,12
214,31690,20,12
214,31705,20,12
214,31728,30,24
214,31729,60,12
214,31731,200,3
214,31740,150,3
214,31741,75,6
215,31671,25,12
215,31737,110,12
215,31750,80,6
215,31752,125,6
215,31740,150,6
215,31746,70,6
216,31636,50,6
216,31649,35,12
216,31650,20,12
216,31679,20,12
216,31688,20,6
216,31784,25,12
217,31669,10,24
217,31703,20,6
217,31736,20,12
217,31653,25,6
217,31684,20,6
217,31728,30,6
218,31672,40,12
218,31641,20,6
218,31644,20,12
218,31656,50,6
218,31659,20,12
218,31693,20,12
218,31784,25,12
219,31670,20,12
219,31642,20,6
219,31653,25,6
219,31655,25,6
219,31722,60,1
219,31728,30,6
220,31734,130,2
220,31735,260,2
220,31737,110,6
220,31778,220,4
220,31805,80,2
220,31758,80,2
221,31671,25,6
221,31704,20,6
221,31736,20,6
221,31651,20,6
221,31655,25,6
221,31657,20,6
221,31660,30,6
221,31677,20,6
221,31684,20,12
221,31686,20,6
221,31693,20,6
221,31694,25,6
221,31705,20,6
221,31728,30,6
222,31703,20,12
222,31704,20,12
222,31736,20,12
222,31640,20,6
222,31642,20,12
222,31645,50,6
222,31646,20,12
222,31651,20,12
222,31655,25,24
222,31657,20,6
222,31660,30,6
222,31666,20,6
222,31667,20,6
222,31677,20,6
222,31684,20,24
222,31690,20,12
222,31705,20,12
222,31728,30,12
222,31784,25,24
223,31733,65,3
223,31734,130,3
223,31736,20,12
223,31737,110,6
223,31738,50,12
223,31645,50,6
223,31646,20,18
223,31647,60,6
223,31650,20,6
223,31651,20,6
223,31659,20,6
223,31660,30,6
223,31666,20,6
223,31667,20,6
223,31679,20,6
223,31684,20,12
223,31685,40,12
223,31689,20,6
223,31690,20,6
223,31693,20,6
223,31728,30,12
223,31729,60,6
223,31731,200,3
224,31636,50,12
224,31700,30,12
224,31784,25,36
225,31671,25,24
225,31672,40,6
225,31712,40,6
225,31734,130,6
225,31737,110,6
225,31743,150,6
225,31748,80,6
225,31750,80,6
225,31752,125,6
225,31706,40,6
225,31731,200,3
225,31740,150,6
225,31746,70,6
225,31776,125,6
226,31713,80,6
226,31735,260,4
226,31748,80,6
226,31751,250,6
226,31778,220,6
226,31724,65,12
226,31726,65,12
226,31732,400,2
226,31739,300,4
227,31670,20,96
227,31672,40,24
228,31670,20,96
228,31737,110,6
228,31778,220,12
228,31782,550,2
228,31792,200,2
228,31793,1000,2
228,31794,650,2
228,31795,750,2
228,31797,400,2
228,31798,650,2
228,31805,80,6
228,31807,625,2
228,31706,40,36
228,31728,30,24
228,31729,60,24
228,31758,80,6
228,31776,125,24
228,31796,750,2
228,31806,60,12
229,31703,20,12
229,31704,20,12
230,31751,250,6
230,31752,125,6
230,31731,200,6
230,31776,125,6
231,31719,25,25
231,31789,20,24
231,31791,30,12
232,31669,10,24
232,31670,20,24
232,31660,30,6
233,31670,20,12
233,31672,40,12
234,31672,40,12
234,31737,110,6
234,31750,80,6
234,31731,200,3
234,31746,70,6
234,31776,125,3
235,31642,20,12
235,31657,20,12
235,31784,25,6
236,31753,65,6
236,31660,30,12
237,31669,10,12
237,31670,20,6
237,31640,20,6
237,31642,20,6
237,31646,20,6
237,31651,20,6
237,31653,25,6
237,31657,20,6
237,31660,30,6
237,31677,20,6
237,31684,20,6
237,31688,20,6
237,31691,20,6
237,31694,25,6
237,31697,20,6
237,31699,20,6
237,31700,30,6
237,31728,30,6
237,31784,25,6
238,31712,40,6
238,31714,40,6
238,31734,130,6
238,31735,260,12
238,31737,110,48
238,31749,160,12
238,31752,125,6
238,31778,220,24
238,31706,40,24
238,31731,200,48
238,31732,400,12
238,31739,300,12
238,31740,150,6
238,31746,70,36
238,31775,250,12
239,31700,30,12
240,31782,550,1
240,31793,1000,1
240,31795,750,1
240,31797,400,1
240,31807,625,1
240,31808,200,1
240,31809,200,1
240,31718,25,25
240,31719,25,25
240,31720,65,12
240,31721,65,12
240,31796,750,1
241,31782,550,1
241,31793,1000,1
241,31794,650,1
241,31795,750,1
241,31797,400,1
241,31807,625,1
241,31721,65,12
241,31724,65,12
241,31726,65,12
241,31791,30,12
241,31796,750,1
242,31672,40,12
242,31789,20,24
242,31791,30,12
242,31810,60,24
243,31672,40,24
243,31735,260,6
243,31778,220,12
243,31811,80,6
243,31642,20,24
243,31742,300,4
243,31775,250,6
244,31671,25,72
244,31736,20,36
244,31646,20,24
244,31655,25,12
244,31690,20,24
244,31728,30,24
244,31729,60,24
244,31731,200,6
245,31642,20,18
245,31646,20,6
245,31653,25,6
245,31655,25,18
245,31657,20,12
245,31690,20,6
246,31671,25,48
246,31736,20,24
246,31659,20,12
246,31684,20,24
246,31697,20,6
246,31700,30,12
246,31728,30,24
247,31641,20,6
247,31642,20,12
247,31645,50,6
247,31646,20,6
247,31650,20,6
247,31651,20,12
247,31653,25,12
247,31655,25,12
247,31659,20,6
247,31684,20,12
247,31690,20,6
247,31693,20,6
247,31694,25,12
247,31697,20,12
247,31755,15,6
247,31784,25,12
248,31704,20,12
248,31786,20,24
248,31642,20,12
248,31645,50,12
248,31646,20,12
248,31653,25,12
248,31657,20,12
248,31660,30,12
248,31666,20,12
248,31667,20,6
248,31668,20,6
248,31688,20,12
248,31690,20,48
248,31693,20,12
248,31705,20,12
248,31728,30,12
248,31784,25,24
249,31704,20,24
249,31726,65,6
249,31806,60,12
250,31672,40,12
250,31735,260,4
250,31738,50,12
250,31748,80,12
