ItemID,ItemName,Unit,PrCd
32394,khatai powder 1 kg,kg,C09
31880,china grass,,C18
32367,china grass 1 packet,,C18
31781,chinese salt 500 gm,gm,C19
31900,chinese salt 100 gm,gm,C19
31984,chinese salt 50 gm,gm,C19
32011,chinese salt 1 kg,kg,C19
32185,coco powder 100 gm,gm,C21
32397,coco powder 1 kg,kg,C21
32184,corn flour 100 gm,gm,C22
32382,corn floor 1 kg,kg,C22
32383,corn floor 500 gm,gm,C22
31640,dar cheeni 30 gm,gm,D07
31881,dar cheeni 50 gm,gm,D07
31915,dashi chicken powder 100 gm,gm,D07
31993,dar cheeni 1 kg,kg,D07
32159,dar cheeni,,D07
32363,dar cheeni powder 30gm,gm,D07
32376,dar cheeni powder 1 kg,kg,D07
31651,dhania 50 gm,gm,D08
31652,dhania 100 gm,gm,D08
31697,dhania powder 50 gm,gm,D08
31698,dhania powder 100 gm,gm,D08
31910,dhania powder 200 gm,gm,D08
31914,dhania 200 gm,gm,D08
32017,dhania 1 kg,kg,D08
32018,dhania powder 1000 gm,gm,D08
32073,dhania 1000 gm,gm,D08
32153,dhania powder 1 kg,kg,D08
32194,dhania sabit 1000 gm,gm,D08
32208,dhania powder 500 gm,gm,D08
31760,dal mung 100 gm,gm,D09
31761,dal mung 50 gm,gm,D09
31762,dal mung 200 gm,gm,D09
31763,dal mung 250 gm,gm,D09
32015,dal mung 1 kg,kg,D09
32182,dal mung 150 gm,gm,D09
31790,essence biryani,,E01
32198,flavoured vermicelli 150 gm,gm,E01
32220,flavoured vermicelli 200 gm,gm,E01
32313,essence korma,,E01
32314,essence vanilla ,,E01
32315,essence pine apple,,E01
32316,essence kewra,,E01
32365,essence 1 dozen,,E01
32461,essence rose,,E01
31683,food color red,,E04
31690,zarda rang 24 gm,gm,E04
32056,food colour 1 pond,pond,E04
32156,zarda rung 1 pond,pond,E04
32167,zarda rung 500 gm,gm,E04
32318,food color pink,,E04
32319,food color yellow,,E04
32320,food color green,,E04
32323,food colour-zarda,,E04
32339,zafran 1 pc,pc,E04
32357,food colour orange ,,E04
32358,food colour choclate,,E04
32371,food colour mix,,E04
32390,zarda rung 12 gm,gm,E04
31802,fried onion 200 gm,gm,E05
31818,fried onion 150 gm,gm,E05
32019,fried onion 1 kg,kg,E05
32077,fried onion 500 gm,gm,E05
31636,garam masala sabit 50 gm ,gm,G02
31637,garam masala powder 50 gm,gm,G02
31638,garam masala powder 100 gm,gm,G02
31784,garam masala sabut 24 gm ,gm,G02
31788,garam masala sabit 100 gm,gm,G02
31814,garam masala powder 25 gm,gm,G02
31934,garam masala sabit 80 gm ,gm,G02
32047,garam masala sabit 1 kg,kg,G02
32049,garam masala powder 1 kg,kg,G02
32262,garam masala powder 500gm,gm,G02
32432,garam masala sabit 200 gm,gm,G02
32193,ispagheti 1 kg,kg,G03
32197,ispangol husk 200 gm,gm,G03
32199,snell macrooni 180 gm,gm,G03
32200,simple macrooni 100 gm,gm,G03
32201,elbow macrooni 150 gm,gm,G03
32202,mix macrooni 150 gm,gm,G03
32203,ispagheti  200 gm,gm,G03
32204,simple vermicelli 200 gm,gm,G03
32205,brown macrooni 150 gm,gm,G03
32206,yellow macrooni 150 gm,gm,G03
32207,gol macrooni 150 gm,gm,G03
32221,yellow macrooni 200 gm,gm,G03
32222,elbow macrooni 200 gm,gm,G03
32223,simple macrooni 200 gm,gm,G03
32455,macrooni 1 kg,kg,G03
31653,gol mirch 50 gm,gm,G04
31654,gol mirch 200 gm,gm,G04
31800,gol mirch 100 gm,gm,G04
31955,gol mirch 80 gm,gm,G04
32021,gol mirch 1 kg,kg,G04
31906,gosht galana powder 50gm,gm,G06
32373,ghost gilana powder,,G06
31699,haldi powder 34 gm,gm,H01
31816,haldi powder 200 gm,gm,H01
31843,haldi powder 100 gm,gm,H01
31933,haldi powder 1 kg,kg,H01
31646,ilachi small 8 gm,gm,I01
31647,ilachi small 25 gm,gm,I01
31648,ilachi small 50 gm,gm,I01
32240,ilachi small 1 kg,,I01
32321,ilachi small 250 gm,gm,I01
32387,ilachi small 500 gm,gm,I01
31684,imli 100 gm,gm,I02
31685,imli 200 gm,gm,I02
32023,imli 1 kg,kg,I02
31650,jaifal 10 gm,gm,J01
31937,jaifal 10 pcs,pcs,J01
32027,jaifal 1 kg,kg,J01
31649,jwatri 8 gm,gm,J02
32003,jwatri 1 kg,kg,J02
32100,jwatri 25 gm,gm,J02
31644,kala zeera 20 gm,gm,K02
31996,kala zeera 1 kg,kg,K02
32134,kala zeera 50 gm,gm,K02
31676,kala namak 100 gm,gm,K03
32035,kala namak 1 kg,kg,K03
31657,kali mirch 12 gm,gm,K05
31658,kali mirch 50 gm,gm,K05
31705,kali mirch 200 gm,gm,K05
31812,kali mirch p 12 gm,gm,K05
31892,kali mirch 100 gm,gm,K05
31909,kali mirch 35 gm,gm,K05
32001,kali mirch 1 kg,kg,K05
32002,kali mirch powder 1 kg,kg,K05
32079,black peeper box,,K05
32097,kali mirch p 100 gm ,gm,K05
32122,kali mirch p 50 gm,gm,K05
32261,kali mirch p 200gm,gm,K05
32447,kali mirch 500 gm,gm,K05
31666,khashkhash 60 gm,gm,K07
31938,khashkhash 100 gm,gm,K07
32025,khashkhash 1 kg,kg,K07
32161,khashkhash,,K07
31703,khopra powder 30 gm,gm,K10
31704,khopra katar 30 gm,gm,K10
31806,khopra powder  100 gm,gm,K10
31872,khopra sabit 100 gm,gm,K10
31873,khopra katar 100 gm,gm,K10
31907,khopra powder  200 gm,gm,K10
32040,khopra powder 1 kg,kg,K10
32041,khopra sabit 1 kg,kg,K10
32070,khopra katar sabit 200 gm,gm,K10
32139,khopra powder 1000 gm,gm,K10
32189,khopra katar 500 gm,gm,K10
32192,khopra sabit 1000 gm,gm,K10
32429,chicki khopra 1pc,,K10
31745,kishmish 500 gm,gm,K13
31746,kishmish 100 gm,gm,K13
31786,kishmish 30 gm,gm,K13
31889,kishmish 200 gm,gm,K13
31895,kishmish 50 gm,gm,K13
31972,kishmish sundar khani 1 kg,kg,K13
31973,kishmish gol  1 kg,kg,K13
32140,kishmish 1000 gm,gm,K13
32180,kishmish 150 gm,gm,K13
32436,kishmish irani 1 kg,kg,K13
31655,koti mirch 50gm,gm,L01
31656,koti mirch 100 gm,gm,L01
31694,lal mirch powder 50gm,gm,L01
31695,lal mirch powder 100 gm,gm,L01
31696,lal mirch powder 200 gm,gm,L01
31830,lal mirch powder 1kg,kg,L01
31913,koti mirch 200 gm,gm,L01
32042,koti mirch 1 kg,kg,L01
32074,koti mirch 1000 gm,gm,L01
32142,koti mirch 500 gm,gm,L01
32143,lal mirch powder 500 gm,gm,L01
32155,koti mirch 1 kg,kg,L01
32347,lal mirch powder 400 gm,gm,L01
31641,long 10 gm,gm,L02
31936,long 50 gm,gm,L02
31994,long 1 kg,kg,L02
32128,long 25 gm,gm,L02
31817,lobia white imported 500 gm,gm,L03
31884,lobia white 500 gm,gm,L03
31943,lobia white 1 kg,kg,L03
31661,makai 100 gm,gm,M02
32031,makai 1 kg,kg,M02
32241,makai 200gm,gm,M02
31688,meetha soda 100 gm,gm,M03
31941,meetha soda 200 gm,gm,M03
32034,meetha soda 1 kg,kg,M03
32271,meetha soda  1 kg,kg,M03
31667,methi dana 80 gm,gm,M04
32037,methi dana 1 kg,kg,M04
32135,methi dana 100 gm,gm,M04
31668,methi pata 50 gm,gm,M05
32038,methi pata 1 kg,kg,M05
32169,papad hara masala 1 kg,kg,M08
32187,mustard powder  100 gm,gm,M08
32195,biryani masala 1 kg,kg,M08
32196,qurama masala 1000 gm,gm,M08
32310,papad hara masala 1 pc,pc,M08
32360,mustard powder 1 kg,kg,M08
32400,biryani masala 50 gm,gm,M08
31942,monaka 100 gm,gm,M10
31983,monaka 50 gm,gm,M10
32190,monaka 25 gm,gm,M10
32283,monaka 1 kg,kg,M10
32458,monaka 200 gm,gm,M10
31901,muraba ashrafi 100 gm,gm,M13
32158,muraba ashrafi 1 kg,kg,M13
32188,muraba ashrafi 250 gm,gm,M13
32407,muraba ashrafi 200gm,gm,M13
31826,peanut basin 50 gm,gm,P06
31805,peanut masala 200 gm,gm,P07
31819,peanut masala 40 gm,gm,P07
31832,peanut masala 80 gm,gm,P07
32177,peanut masala 1 kg,kg,P07
31686,rai dana 70 gm,gm,R01
31940,rai dana 100 gm,gm,R01
32033,rai dana  1 kg,kg,R01
32141,rai powder 100 gm,gm,R01
32298,rai powder 1kg,kg,R01
31642,safaid zeera 28gm,gm,R03
31643,safaid zeera 100 gm,gm,R03
31935,safaid zeera 80 gm,gm,R03
31995,safaid zeera karachi 1 kg,kg,R03
32160,safaid zeera powder 200 gm,gm,R03
32166,safaid zeera powder 28 gm,gm,R03
32213,safaid zeera india 1kg,kg,R03
32214,safaid zeera powder 1kg,kg,R03
32238,safed zeera powder 100 gm,gm,R03
32325,safaid zeera 500 gm,gm,R03
32430,safaid zeera 200 gm ,gm,R03
31659,sago dana 80 gm,gm,S01
31893,sago dana 100 gm,gm,S01
31908,sago dana 200 gm,gm,S01
32030,sago dana 1 kg,kg,S01
31904,suger 1 kg,kg,S02
31905,sugar 2000 kg,kg,S02
31693,saunf 32 gm,gm,S04
31846,sada sounf 130 gm,gm,S04
31878,saunf 100 gm,gm,S04
32046,saunf 1 kg,kg,S04
32123,vip rosted saunf ,,S04
32147,roasted saunf 1 kg,kg,S04
32290,vip roasted saunf,,S04
32448,saunf 250 gm,gm,S04
31770,slims 100 gm,gm,S05
31771,slims 50 gm,gm,S05
31851,slims 200 gm,gm,S05
32057,slims 1 kg,kg,S05
31665,sounth 24 gm,gm,S07
31990,sounth powder 50 gm,gm,S07
31998,sounth 1 kg,kg,S07
31999,sounth powder 1 kg,kg,S07
32092,sounth 50 gm,gm,S07
31687,tatri 20 gm,gm,T01
32008,tatri 1 kg,kg,T01
32445,tatri 50 gm,gm,T01
31639,teez pata 30 gm,gm,T02
32036,teez pata 1 kg ,kg,T02
31689,till 40 gm,gm,T03
31719,chicki till 1 pc,,T03
31721,chicki till 200 gm,gm,T03
31836,chicki till 600 gm,gm,T03
31879,till 100 gm,gm,T03
31930,chicki till 100 gm,gm,T03
31979,chicki till 1 kg,kg,T03
32032,till 1 kg,kg,T03
32088,till 500gm,gm,T03
32330,chicki till small p.b 1 pc,,T03
32332,chicki till large p.b 1pc,,T03
32361,chicki till 1 bag,,T03
32401,chicki till bottel,,T03
32426,chicki till box,,T03
32410,till samosa large,,T05
32412,till samosa jar,,T05
32413,till samosa packet,,T05
32419,till samosa family jar,,T05
32446,till samosa 1 pc,pc,T05
31876,sapana tea 500 gm,gm,T07
31991,shelling pati,,T07
32233,my tea 100 gm,gm,T07
32237,my tea 500,,T07
32257,my tea 200gm,gm,T07
32269,my tea  1 kg,kg,T07
32352,svass tea,,T07
32362,test product,,T07
32173,white pepper 12 gm,gm,W01
32186,white pepper 40 gm,gm,W01
32393,white pepper 1 kg,kg,W01
31949,achar mix 200 gm,gm,A07
31951,achar mix 12 pcs,pcs,A07
32101,mix achar 12 pc,,A07
31853,barian 200 gm,gm,B09
32054,barian 1 kg,kg,B09
31702,chalia 24 gm,gm,C03
32062,chalia 1 kg ,kg,C03
32118,gol chalia 1 kg ,kg,C03
32119,gol chalia 500 gm,gm,C03
32311,chana meetha 170 gm,gm,C07
32322,chana meetha 70 gm,gm,C07
31662,chandi warac 8 pcs,pcs,C08
32225,chandi warc 1 packet,,C08
31883,dahi phulki 200 gm,gm,D01
32052,dahi phulki 1 kg,kg,D01
32263,dahi phulki 100gm,gm,D01
32272,daahi phulki 1 kg,kg,D01
32275,dahi boondi 1 kg,kg,D01
32276,dahi boondi 1kg,kg,D01
31754,dal chana 100 gm,gm,D02
31755,dal chana 50 gm,gm,D02
31756,dal chana 200 gm,gm,D02
31865,dal chana 250 gm,gm,D02
32013,dal chana 1 kg,kg,D02
31855,khopra paira,,M01
31887,burfi toffi,,M01
31711,mix candie small,,M09
32168,meethas 1 kg,kg,M09
32450,meethas 100 gm,gm,M09
31918,multani mitti 150 gm,gm,M12
32063,multani mitti 1 kg,kg,M12
31764,dal moth 100 gm,gm,N01
31765,mix nimco 100 gm,gm,N01
31766,mix nimco 50 gm,gm,N01
31767,mix nimco 200 gm,gm,N01
31768,mix nimco 250 gm,gm,N01
31772,barik sio 100 gm,gm,N01
31773,barik sio 200 gm,gm,N01
31774,barik sio 50 gm,gm,N01
31821,dal moth 200 gm,gm,N01
31822,chewara 200 gm,gm,N01
31823,chewara 100 gm,gm,N01
31827,dal moth 50 gm,gm,N01
31844,chewara 50 gm,gm,N01
31852,gathia 50 gm,gm,N01
31857,dal seo 100 gm,gm,N01
31866,barik sio 250 gm,gm,N01
31868,gathia 100 gm,gm,N01
31945,dal seo 50 gm,gm,N01
31946,dal seo 200 gm,gm,N01
31947,dal seo 250 gm,gm,N01
31988,vip mix nimco 100 gm,gm,N01
31989,vip mix nimco 50 gm,gm,N01
32007,chewara 1 kg,kg,N01
32014,dal moth 1 kg,kg,N01
32016,dal seo  1 kg,kg,N01
32020,gathia 1 kg,kg,N01
32053,mix nimco 1 kg,kg,N01
32059,barik sio    1 kg,kg,N01
32082,vip mix nimco 200 gm,gm,N01
32125,vip mix nimco 1 kg,kg,N01
32335,mota seo 50 gm,gm,N01
32370,mota seo  1 kg,kg,N01
32372,mota seo 200 gm,gm,N01
32379,mota seo 100 gm,gm,N01
31707,pan masala small,,P01
31708,pan masala medium,,P01
31709,pan masala large,,P01
31710,pan masala bottle,,P01
31845,meethi sounf  200 gm,gm,P01
31858,pan masala family,,P01
32039,meethi sounf 1 kg,kg,P01
32055,pan masala 1 kg,kg,P01
32084,methi chali 1 kg,kg,P01
32120,go go pan masala 1 kg ,kg,P01
32124,sweet chalia gol,,P01
32144,pan masala sp ,,P01
32146,pan masala no # 2,,P01
32148,pan masala pilo,,P01
32149,go go pan masala,,P01
32150,silver pan masala,,P01
32152,pan masala sada,,P01
32165,pan masala ,,P01
32409,sweet chalia 1 kg,kg,P01
31680,dal mash papad 200 gm,gm,P02
31789,papad salanty-racket,,P02
31791,sohana papad-alo masala,,P02
31810,dal mash papad 1 kg,kg,P02
31916,papri 200 gm,gm,P02
31948,papri tasty 50 gm,gm,P02
31975,mix papad 1 kg,kg,P02
31976,italian papad 1 kg,kg,P02
31977,sohana papad 1 kg,kg,P02
32060,dal mash papad 100 gm,gm,P02
32066,dal mung papad 1 pc,,P02
32067,alo papad 1 kg,kg,P02
32069,alo papad small,,P02
32081,papari testy 100 gm,gm,P02
32268,papri gold 150gm,gm,P02
32270,papri tasty 100gm,gm,P02
32277,papri 1 kg,kg,P02
32333,sohana papad-chicken,,P02
32350,mix papad large,,P02
32351,alo papad large,,P02
32388,papad salanty-colour,,P02
32389,papad salanty-white,,P02
32405,mix papad,,P02
32421,papad bale-white,,P02
32422,papad bale-colour,,P02
32424,papad makai,,P02
31701,pithkari 100 gm,gm,P10
32045,pithkari 1 kg ,kg,P10
31783,tukh malunga 20 gm,gm,T06
31919,tukh malunga 100 gm,gm,T06
32009,tuk malunga 1 kg,kg,T06
32317,tukh malunga 50gm,gm,T06
31722,none,,X00
31757,none,,X00
31769,none,,X00
31787,none,,X00
31793,none,,X00
31804,none,,X00
31850,none,,X00
31860,none,,X00
31861,none,,X00
31867,none,,X00
31877,none,,X00
31885,none,,X00
31888,none,,X00
31912,none,,X00
31968,none,,X00
31974,none,,X00
32022,none,,X00
32044,none,,X00
32058,none,,X00
32072,none,,X00
32075,none,,X00
32076,none,,X00
32080,none,,X00
32087,none,,X00
32096,none,,X00
32098,none,,X00
32103,none,,X00
32106,none,,X00
32129,none,,X00
32138,none,,X00
32154,none,,X00
32157,none,,X00
32162,none,,X00
32163,none,,X00
32176,none,,X00
32191,none,,X00
31663,ispagol husk 20 gm,gm,X01
31664,ispagol husk 50 gm,gm,X01
31675,kalaf box 150 gm,gm,X01
31681,phenyle ball 100 gm,gm,X01
31682,phenyle ball 200 gm,gm,X01
31854,thanda gola,,X01
31874,gift pack ,,X01
32024,ispagol husk 1 kg,kg,X01
32064,gandhak 1 kg,kg,X01
32065,gandhak 250 gm,gm,X01
32094,kalaf box large 300 gm,gm,X01
32095,kalaf box   1 kg,kg,X01
32130,ispaghol husk 80 gm,gm,X01
32151,lal pari,,X01
32183,backing powder 100 gm,gm,X01
32278,dry fruit bag,,X01
32306,handle bag shopper,,X01
32375,fair,,X01
32377,carton,,X01
32396,backing powder 1 kg,kg,X01
32431,boric acid 100 gm,gm,X01
32453,boric acid 1 kg,kg,X01
32050,phenyle 1 kg,kg,X02
32216,sticker roll ,,X02
32217,products sticker,,X02
32218,sticker,,X02
32219,white bag dry fruit,,X02
32231,ribben wax,,X02
32274,red bag dry fruit,,X02
32294,nakul 1 kg,kg,X02
32300,small glass boxes,,X02
32301,large glass box,,X02
32302,packing tray 50 gm,gm,X02
32303,packing shopper 100 gm ,gm,X02
32304,packing shopper 200 gm,gm,X02
32305,packing red shopper,,X02
32307,packing shopper 500 kg,kg,X02
32399,plates 1 packet,,X02
32403,jar large,,X02
32404,jar small,,X02
32411,chana jar,,X02
32417,karhai,,X02
32456,order book,,X02
